,Posted,Price,Pictures,Type,Location,Sq. Ft.,Beds,Baths,Link,Size,Rent
0,2 hours ,40.0,10.0,Flat,E-11,750.0,1.0,1.0,https://www.prop.pk/property/details-19409443.html,225-1100,37-49
1,2 hours ,35.0,15.0,Flat,E-11,1200.0,3.0,3.0,https://www.prop.pk/property/details-13944479.html,1100-1975,25-37
2,2 hours ,26.0,9.0,Flat,E-11,750.0,1.0,1.0,https://www.prop.pk/property/details-13944627.html,225-1100,25-37
3,2 hours ,36.0,6.0,Flat,E-11,750.0,1.0,1.0,https://www.prop.pk/property/details-20821356.html,225-1100,25-37
4,2 hours ,35.0,9.0,Flat,E-11,900.0,2.0,2.0,https://www.prop.pk/property/details-21400577.html,225-1100,25-37
5,2 hours ,35.0,9.0,Flat,E-11,750.0,1.0,1.0,https://www.prop.pk/property/details-21419842.html,225-1100,25-37
6,1 day ,40.0,13.0,Flat,"E-11/2, E-11",550.0,1.0,1.0,https://www.prop.pk/property/details-19411926.html,225-1100,37-49
8,1 day ,60.0,20.0,Flat,E-11,1050.0,2.0,2.0,https://www.prop.pk/property/details-19732579.html,225-1100,49-61
9,1 day ,65.0,4.0,Flat,E-11,1250.0,2.0,2.0,https://www.prop.pk/property/details-22059299.html,1100-1975,61-73
10,1 day ,55.0,17.0,Flat,"E-11/4, E-11",1900.0,3.0,3.0,https://www.prop.pk/property/details-20840410.html,1100-1975,49-61
11,1 day ,35.0,7.0,Flat,E-11,550.0,1.0,1.0,https://www.prop.pk/property/details-20324559.html,225-1100,25-37
14,1 day ,55.0,16.0,Flat,E-11,1340.0,3.0,3.0,https://www.prop.pk/property/details-19662785.html,1100-1975,49-61
15,1 day ,65.0,17.0,Flat,E-11,1050.0,2.0,2.0,https://www.prop.pk/property/details-18797354.html,225-1100,61-73
16,1 day ,30.0,10.0,Flat,E-11,1250.0,2.0,2.0,https://www.prop.pk/property/details-10660735.html,1100-1975,25-37
17,2 days ,70.0,7.0,Flat,E-11,2500.0,3.0,1.0,https://www.prop.pk/property/details-20247957.html,1975-2850,61-73
18,2 days ,45.0,17.0,Flat,"Apollo Towers, E-11/4",250.0,1.0,1.0,https://www.prop.pk/property/details-22721345.html,225-1100,37-49
19,3 days ,45.0,9.0,Flat,E-11,1250.0,2.0,2.0,https://www.prop.pk/property/details-20801160.html,1100-1975,37-49
20,3 days ,35.0,4.0,Flat,E-11,1000.0,2.0,2.0,https://www.prop.pk/property/details-21114268.html,225-1100,25-37
21,3 days ,55.0,5.0,Flat,"Abdullah Heights, E-11/4",1100.0,3.0,3.0,https://www.prop.pk/property/details-22717060.html,1100-1975,49-61
22,3 days ,35.0,10.0,Flat,"E-11/2, E-11",550.0,1.0,1.0,https://www.prop.pk/property/details-22714929.html,225-1100,25-37
23,3 days ,46.0,9.0,Flat,E-11,900.0,2.0,2.0,https://www.prop.pk/property/details-20951939.html,225-1100,37-49
24,3 days ,55.0,19.0,Flat,E-11,1300.0,2.0,2.0,https://www.prop.pk/property/details-22113207.html,1100-1975,49-61
25,3 days ,38.0,9.0,Flat,E-11,900.0,2.0,2.0,https://www.prop.pk/property/details-22443504.html,225-1100,37-49
26,3 days ,33.0,5.0,Flat,"E-11/2, E-11",900.0,2.0,2.0,https://www.prop.pk/property/details-18293864.html,225-1100,25-37
27,4 days ,22.0,1.0,Flat,E-11,400.0,1.0,1.0,https://www.prop.pk/property/details-22709132.html,225-1100,14-25
28,4 days ,35.0,4.0,Flat,E-11,500.0,1.0,1.0,https://www.prop.pk/property/details-22709094.html,225-1100,25-37
29,4 days ,35.0,17.0,Flat,"Khudadad Heights, E-11/4",2250.0,2.0,2.0,https://www.prop.pk/property/details-22707146.html,1975-2850,25-37
30,4 days ,32.0,1.0,Flat,"FECHS, E-11/2",850.0,2.0,1.0,https://www.prop.pk/property/details-22705151.html,225-1100,25-37
31,4 days ,40.0,1.0,Flat,"FECHS, E-11/2",1150.0,3.0,3.0,https://www.prop.pk/property/details-22705070.html,1100-1975,37-49
32,4 days ,30.0,6.0,Flat,"Khudadad Heights, E-11/4",1000.0,2.0,2.0,https://www.prop.pk/property/details-22640762.html,225-1100,25-37
33,4 days ,35.0,15.0,Flat,"E-11/2, E-11",650.0,1.0,1.0,https://www.prop.pk/property/details-19396510.html,225-1100,25-37
34,4 days ,66.0,11.0,Flat,E-11,2200.0,3.0,3.0,https://www.prop.pk/property/details-20835487.html,1975-2850,61-73
35,4 days ,80.0,29.0,Flat,E-11,2600.0,4.0,4.0,https://www.prop.pk/property/details-21334899.html,1975-2850,73-85
36,4 days ,45.0,15.0,Flat,E-11,1200.0,2.0,2.0,https://www.prop.pk/property/details-21334854.html,1100-1975,37-49
37,4 days ,40.0,13.0,Flat,"E-11/2, E-11",600.0,1.0,1.0,https://www.prop.pk/property/details-21024453.html,225-1100,37-49
38,5 days ,38.0,17.0,Flat,E-11,1500.0,3.0,3.0,https://www.prop.pk/property/details-22308581.html,1100-1975,37-49
39,5 days ,38.0,10.0,Flat,E-11,850.0,2.0,2.0,https://www.prop.pk/property/details-22699525.html,225-1100,37-49
40,5 days ,20.0,5.0,Flat,E-11,800.0,1.0,1.0,https://www.prop.pk/property/details-22699412.html,225-1100,14-25
41,5 days ,26.0,4.0,Flat,E-11,1100.0,2.0,2.0,https://www.prop.pk/property/details-22699350.html,1100-1975,25-37
42,5 days ,55.0,12.0,Flat,E-11,1050.0,2.0,2.0,https://www.prop.pk/property/details-20149524.html,225-1100,49-61
43,5 days ,55.0,7.0,Flat,"E-11/4, E-11",1600.0,3.0,3.0,https://www.prop.pk/property/details-20905792.html,1100-1975,49-61
44,5 days ,50.0,15.0,Flat,E-11,1500.0,3.0,3.0,https://www.prop.pk/property/details-20517037.html,1100-1975,49-61
45,5 days ,65.0,9.0,Flat,E-11,1250.0,2.0,2.0,https://www.prop.pk/property/details-22213591.html,1100-1975,61-73
46,5 days ,65.0,20.0,Flat,E-11,1250.0,2.0,2.0,https://www.prop.pk/property/details-20104963.html,1100-1975,61-73
47,5 days ,55.0,9.0,Flat,E-11,1600.0,2.0,2.0,https://www.prop.pk/property/details-21334940.html,1100-1975,49-61
48,5 days ,45.0,16.0,Flat,"E-11/4, E-11",1200.0,2.0,2.0,https://www.prop.pk/property/details-20906182.html,1100-1975,37-49
49,5 days ,55.0,16.0,Flat,"E-11/4, E-11",1500.0,3.0,3.0,https://www.prop.pk/property/details-20906204.html,1100-1975,49-61
50,5 days ,40.0,12.0,Flat,E-11,1050.0,2.0,2.0,https://www.prop.pk/property/details-20899585.html,225-1100,37-49
51,5 days ,38.0,15.0,Flat,E-11,600.0,1.0,1.0,https://www.prop.pk/property/details-20294859.html,225-1100,37-49
52,6 days ,20.0,5.0,Flat,E-11,350.0,1.0,1.0,https://www.prop.pk/property/details-22502586.html,225-1100,14-25
53,6 days ,45.0,7.0,Flat,"E-11/4, E-11",1400.0,3.0,3.0,https://www.prop.pk/property/details-22111668.html,1100-1975,37-49
54,6 days ,33.0,14.0,Flat,"E-11/2, E-11",450.0,1.0,1.0,https://www.prop.pk/property/details-22136978.html,225-1100,25-37
55,6 days ,35.0,15.0,Flat,"E-11/2, E-11",450.0,1.0,1.0,https://www.prop.pk/property/details-22137071.html,225-1100,25-37
56,6 days ,40.0,11.0,Flat,"E-11/4, E-11",1500.0,3.0,3.0,https://www.prop.pk/property/details-22137203.html,1100-1975,37-49
57,6 days ,35.0,8.0,Flat,"E-11/2, E-11",1000.0,2.0,2.0,https://www.prop.pk/property/details-22137428.html,225-1100,25-37
58,6 days ,32.0,14.0,Flat,"E-11/2, E-11",900.0,2.0,2.0,https://www.prop.pk/property/details-22144742.html,225-1100,25-37
59,6 days ,23.0,12.0,Flat,"E-11/1, E-11",450.0,1.0,1.0,https://www.prop.pk/property/details-22146029.html,225-1100,14-25
60,6 days ,35.0,13.0,Flat,"E-11/4, E-11",1200.0,2.0,2.0,https://www.prop.pk/property/details-22152554.html,1100-1975,25-37
61,6 days ,50.0,20.0,Flat,"E-11/4, E-11",1500.0,2.0,2.0,https://www.prop.pk/property/details-22154825.html,1100-1975,49-61
62,6 days ,50.0,19.0,Flat,"E-11/4, E-11",1200.0,2.0,2.0,https://www.prop.pk/property/details-22170862.html,1100-1975,49-61
63,6 days ,47.0,15.0,Flat,E-11,1300.0,2.0,2.0,https://www.prop.pk/property/details-22490111.html,1100-1975,37-49
64,6 days ,45.0,9.0,Flat,E-11,750.0,1.0,1.0,https://www.prop.pk/property/details-22490225.html,225-1100,37-49
65,6 days ,25.0,6.0,Flat,E-11,650.0,1.0,1.0,https://www.prop.pk/property/details-22490292.html,225-1100,25-37
66,6 days ,25.0,9.0,Flat,E-11,650.0,1.0,1.0,https://www.prop.pk/property/details-22490343.html,225-1100,25-37
67,6 days ,38.0,17.0,Flat,E-11,550.0,1.0,1.0,https://www.prop.pk/property/details-22490438.html,225-1100,37-49
68,6 days ,38.0,16.0,Flat,E-11,650.0,1.0,1.0,https://www.prop.pk/property/details-22490626.html,225-1100,37-49
69,6 days ,35.0,7.0,Flat,E-11,1250.0,2.0,2.0,https://www.prop.pk/property/details-22490772.html,1100-1975,25-37
70,6 days ,45.0,10.0,Flat,E-11,2200.0,3.0,3.0,https://www.prop.pk/property/details-22501677.html,1975-2850,37-49
71,6 days ,45.0,7.0,Flat,E-11,1800.0,3.0,3.0,https://www.prop.pk/property/details-22502166.html,1100-1975,37-49
73,6 days ,27.0,1.0,Flat,E-11,1000.0,2.0,2.0,https://www.prop.pk/property/details-22682920.html,225-1100,25-37
74,6 days ,20.0,5.0,Flat,E-11,300.0,1.0,1.0,https://www.prop.pk/property/details-21343928.html,225-1100,14-25
75,6 days ,25.0,6.0,Flat,E-11,500.0,1.0,1.0,https://www.prop.pk/property/details-21343831.html,225-1100,25-37
76,7 days ,60.0,18.0,Flat,"MPCHS - Islamabad Garden, E-11/1",1850.0,3.0,4.0,https://www.prop.pk/property/details-20574274.html,1100-1975,49-61
77,7 days ,34.0,9.0,Flat,E-11,550.0,1.0,1.0,https://www.prop.pk/property/details-21073202.html,225-1100,25-37
78,7 days ,45.0,5.0,Flat,E-11,1250.0,2.0,2.0,https://www.prop.pk/property/details-20956246.html,1100-1975,37-49
79,7 days ,32.0,4.0,Flat,E-11,550.0,1.0,1.0,https://www.prop.pk/property/details-20773685.html,225-1100,25-37
80,7 days ,50.0,2.0,Flat,E-11,1250.0,2.0,2.0,https://www.prop.pk/property/details-20956238.html,1100-1975,49-61
81,7 days ,65.0,11.0,Flat,E-11,1900.0,3.0,3.0,https://www.prop.pk/property/details-20709560.html,1100-1975,61-73
82,7 days ,33.0,4.0,Flat,E-11,550.0,1.0,1.0,https://www.prop.pk/property/details-20628828.html,225-1100,25-37
