,Posted,Price,Pictures,Type,Location,Sq. Ft.,Beds,Baths,Link
0,2 hours ,40 Thousand,10,Flat,"E-11, Islamabad",750,1,1,https://www.prop.pk/property/details-19409443.html
1,2 hours ,35 Thousand,15,Flat,"E-11, Islamabad","1,200",3,3,https://www.prop.pk/property/details-13944479.html
2,2 hours ,26 Thousand,9,Flat,"E-11, Islamabad",750,1,1,https://www.prop.pk/property/details-13944627.html
3,2 hours ,36 Thousand,6,Flat,"E-11, Islamabad",750,1,1,https://www.prop.pk/property/details-20821356.html
4,2 hours ,35 Thousand,9,Flat,"E-11, Islamabad",900,2,2,https://www.prop.pk/property/details-21400577.html
5,2 hours ,35 Thousand,9,Flat,"E-11, Islamabad",750,1,1,https://www.prop.pk/property/details-21419842.html
6,1 day ,40 Thousand,13,Flat,"E-11/2, E-11",550,1,1,https://www.prop.pk/property/details-19411926.html
7,1 day ,38 Thousand,11,Flat,"E-11, Islamabad",600,1,,https://www.prop.pk/property/details-20104870.html
8,1 day ,60 Thousand,20,Flat,"E-11, Islamabad","1,050",2,2,https://www.prop.pk/property/details-19732579.html
9,1 day ,65 Thousand,4,Flat,"E-11, Islamabad","1,250",2,2,https://www.prop.pk/property/details-22059299.html
10,1 day ,55 Thousand,17,Flat,"E-11/4, E-11","1,900",3,3,https://www.prop.pk/property/details-20840410.html
11,1 day ,35 Thousand,7,Flat,"E-11, Islamabad",550,1,1,https://www.prop.pk/property/details-20324559.html
12,1 day ,65 Thousand,20,Flat,"E-11, Islamabad","1,280",2,,https://www.prop.pk/property/details-21224797.html
13,1 day ,1.15 Lakh,20,Flat,"E-11/4, E-11","2,000",3,3,https://www.prop.pk/property/details-22632979.html
14,1 day ,55 Thousand,16,Flat,"E-11, Islamabad","1,340",3,3,https://www.prop.pk/property/details-19662785.html
15,1 day ,65 Thousand,17,Flat,"E-11, Islamabad","1,050",2,2,https://www.prop.pk/property/details-18797354.html
16,1 day ,30 Thousand,10,Flat,"E-11, Islamabad","1,250",2,2,https://www.prop.pk/property/details-10660735.html
17,2 days ,70 Thousand,7,Flat,"E-11, Islamabad","2,500",3,1,https://www.prop.pk/property/details-20247957.html
18,2 days ,45 Thousand,17,Flat,"Apollo Towers, E-11/4",250,1,1,https://www.prop.pk/property/details-22721345.html
19,3 days ,45 Thousand,9,Flat,"E-11, Islamabad","1,250",2,2,https://www.prop.pk/property/details-20801160.html
20,3 days ,35 Thousand,4,Flat,"E-11, Islamabad","1,000",2,2,https://www.prop.pk/property/details-21114268.html
21,3 days ,55 Thousand,5,Flat,"Abdullah Heights, E-11/4","1,100",3,3,https://www.prop.pk/property/details-22717060.html
22,3 days ,35 Thousand,10,Flat,"E-11/2, E-11",550,1,1,https://www.prop.pk/property/details-22714929.html
23,3 days ,46 Thousand,9,Flat,"E-11, Islamabad",900,2,2,https://www.prop.pk/property/details-20951939.html
24,3 days ,55 Thousand,19,Flat,"E-11, Islamabad","1,300",2,2,https://www.prop.pk/property/details-22113207.html
